County,Facility_Name,Permit_Number,Facility_Type,Facility_Address,Facility_City,Facility_State,Facility_Zip,Dominion,Contact_Name,Contact_Address,Contact_City,Contact_State,Contact_Zip,Manager_Name,Manager_Address,Manager_City,Manager_State,Manager_Zip,Contact_AreaCode,Contact_Phone,Manager_AreaCode,Manager_Phone,Latitude ,Longitude ,Notes
Camden,Pet Cremation Services,PBR-020-08COL;TS,TS,616 N. Lee St.,Kingsland,GA,31548,Private Commercial,Mark Fiegl,616 N. Lee St.,Kingsland,GA,31548,Mark Fiegl,616 N. Lee St.,Kingsland,GA,31548,912,882-2900,912,882-2900,30.80789,-81.692283,
Carroll,Villa Rica Waste Transfer,PBR-022-16TS,TS,111 Fleet Dr.,Villa Rica,GA,30180,Private Commercial,Brian J. Albertson,1161 Sandhill Hickory Level Rd.,Carrollton,GA,30116,Shawnda Stone,P.O. Box 213,Winston,GA,30187,404,925-5390,770,577-5555,33.7426,-84.9447,
Carroll,Carroll County Solid Waste Management Authority,PBR-022-01TS,TS,439 Simonton Mill Rd.,Carrollton,GA,30117,Public,,,,,,,,,,,,,,,33.5507,-85.149,
Catoosa,Catoosa County Transfer Station,PBR-023-14TS,TS,755 Shope Ridge Rd.,Ringgold,GA,30736,Public,"Santek Enviromental of Georgia, Inc.","650 25th St. NW, Suite 100",Cleveland,TN,37311,Paul Long,755 Shope Ridge Rd.,Ringgold,GA,30736-7409,423,476-9160,706,937-4564,34.884728,-85.167131,
Chatham,"Republic Services, Inc. - Chatham County Transfer Station ",PBR-025-17TS,TS,84 Clifton Blvd.,Port Wentworth,GA,31407,Private Commercial,"Republic Services, Inc.",18500 N. Alllied Way,Phoenix,AZ,33301-5008,Guy Thompson,8619 Western Way,Jacksonville,FL,32256,954,769-2400,912,964-2211,32.14197,-81.17872,
Chattooga,White's Waste Transfer,PBR-027-06TS,TS,105 Stoleman Rd.,Trion,GA,30753,Private,White's Sanitation Service,150 McLeod St.,Lyerly,GA,30730,,,,,,706,734-7767,,,34.5707,-85.28835,
Chatham,"Safety Disposal Systems of Georgia, Inc.",PBR-025-26TS,TS,6043 Ogeehee Rd.,Savannah,GA,31419,Private,"Safety Disposal Systems of Georgia, Inc.",5940 Peachtree Rd.,Atlanta,GA,30341,,,,,,770,452-0011,,,31.994564,-81.263644,
Chatham,Waste Management of Savannah Transfer Station,PBR-025-37TS,TS,1809 US Hwy. 80 West,Garden City,GA,31408,Private,Waste Management,"1765 The Exchange, Suite 500",Atlanta,GA,30339,Burke Wall,1809 US Hwy. 80 West,Garden City,GA,31408,770,859-0800,912,965-0300,32.084005,-81.167793,
Chatham,East Coast Terminal Company,PBR-025-41TS,TS,1 Harbor St.,Savannah,GA,31401,Private,"Frank Peeples, Jr.",P.O. Box 1646,Savannah,GA,31404,,,,,,912,236-1531,,,32.076541,-81.071682,
Chatham,Atlantic Wood Waste Transfer Facility,PBR-025-46TS,TS,202 Oxnard Dr.,Port Wentworth,GA,31407,Private,"Atlantic Wood Industries, Inc.",P.O. Box 1608,Savannah,GA,31402,Ross Worsham,P.O. Box 1608,Savannah,GA,31402,912,964-1234,912,964-1234,32.14583,-81.14166,
